PLC Tag,Display Name,Area,Equipment,Parameter,Unit,Category,Data Type,Normal Low,Normal High,Warning Low,Warning High,Critical Low,Critical High,Active,Mapping Status
VSD140PP015,VSD140PP015,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP016,VSD140PP016,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP017,VSD140PP017,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP018,VSD140PP018,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP019,VSD140PP019,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP020,VSD140PP020,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP021,VSD140PP021,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP022,VSD140PP022,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP023,VSD140PP023,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP024,VSD140PP024,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP025,VSD140PP025,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD140PP026,VSD140PP026,Area 140,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP003,VSD220PP003,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP004,VSD220PP004,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP005,VSD220PP005,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP006,VSD220PP006,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP007,VSD220PP007,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP010,VSD220PP010,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP011,VSD220PP011,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP013,VSD220PP013,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP014,VSD220PP014,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP015,VSD220PP015,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP016,VSD220PP016,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP021,VSD220PP021,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP022,VSD220PP022,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
AIT160TK005ORP,AIT160TK005ORP,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
AIT160TK005PH1,AIT160TK005PH1,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
DIT140TH001,DIT140TH001,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
DIT170TH001,DIT170TH001,Area 170,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
FIT140TH001,FIT140TH001,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK06A,FIT140TK06A,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK06B,FIT140TK06B,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK06C,FIT140TK06C,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK06D,FIT140TK06D,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK007,FIT140TK007,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK008,FIT140TK008,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK009,FIT140TK009,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK10A,FIT140TK10A,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK10B,FIT140TK10B,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK011,FIT140TK011,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK012,FIT140TK012,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK013,FIT140TK013,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK14A,FIT140TK14A,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK015,FIT140TK015,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK016,FIT140TK016,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK017,FIT140TK017,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK018,FIT140TK018,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK019,FIT140TK019,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK020,FIT140TK020,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK021,FIT140TK021,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK022,FIT140TK022,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK023,FIT140TK023,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK024,FIT140TK024,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK24B,FIT140TK24B,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK025,FIT140TK025,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK026,FIT140TK026,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK027,FIT140TK027,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK028,FIT140TK028,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK029,FIT140TK029,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK030,FIT140TK030,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT140TK031,FIT140TK031,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT170TH001,FIT170TH001,Area 170,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT220TK001,FIT220TK001,Area 220,,,,Unknown,Numeric,,,,,,,True,Needs Review
LCV140TK09A,LCV140TK09A,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
LCV140TK09B,LCV140TK09B,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
LCV140TK13A,LCV140TK13A,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
LCV140TK13B,LCV140TK13B,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
LCV140TK17A,LCV140TK17A,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
LCV140TK17B,LCV140TK17B,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
LCV140TK20A,LCV140TK20A,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
LCV140TK20B,LCV140TK20B,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
LCV140TK021,LCV140TK021,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
LCV140TK025,LCV140TK025,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
LCV140TK029,LCV140TK029,Area 140,,,,Unknown,Numeric,,,,,,,True,Needs Review
LIT140HP001,LIT140HP001,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140HP002,LIT140HP002,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140HP006,LIT140HP006,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140HP007,LIT140HP007,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
